(-10, -10, 6.492845)
(-10, -9, 0.425925)
(-10, -8, 10)
(-10, -7, 0.909262)
(-10, -6, 10)
(-10, -5, 0.367805)
(-10, -4, 0.393793)
(-10, -3, 10)
(-10, -2, 0.753134)
(-10, -1, 0.336914)
(-10, 0, 1.664277)
(-10, 1, 0.332606)
(-10, 2, 0.207617)
(-10, 3, 10)
(-10, 4, 10)
(-10, 5, 10)
(-10, 6, 0.305572)
(-10, 7, 0.325536)
(-10, 8, 10)
(-10, 9, 10)
(-10, 10, 0.250028)
(-9, -10, 0.265054)
(-9, -9, 0.668799)
(-9, -8, 10)
(-9, -7, 1.831517)
(-9, -6, 0.91035)
(-9, -5, 0.662989)
(-9, -4, 10)
(-9, -3, 10)
(-9, -2, 10)
(-9, -1, 10)
(-9, 0, 0.961222)
(-9, 1, 0.531083)
(-9, 2, 0.833009)
(-9, 3, 0.883873)
(-9, 4, 0.745806)
(-9, 5, 10)
(-9, 6, 10)
(-9, 7, 10)
(-9, 8, 10)
(-9, 9, 0.236871)
(-9, 10, 0.516862)
(-8, -10, 0.23336)
(-8, -9, 0.665722)
(-8, -8, 10)
(-8, -7, 10)
(-8, -6, 0.786679)
(-8, -5, 10)
(-8, -4, 10)
(-8, -3, 0.422738)
(-8, -2, 1.206748)
(-8, -1, 2.660375)
(-8, 0, 0.239605)
(-8, 1, 0.788378)
(-8, 2, 10)
(-8, 3, 0.262265)
(-8, 4, 0.242968)
(-8, 5, 0.195199)
(-8, 6, 0.416052)
(-8, 7, 0.239722)
(-8, 8, 0.550373)
(-8, 9, 10)
(-8, 10, 0.250689)
(-7, -10, 10)
(-7, -9, 10)
(-7, -8, 0.557698)
(-7, -7, 0.296383)
(-7, -6, 10)
(-7, -5, 10)
(-7, -4, 10)
(-7, -3, 0.185447)
(-7, -2, 0.282371)
(-7, -1, 10)
(-7, 0, 0.27002)
(-7, 1, 0.897975)
(-7, 2, 0.893969)
(-7, 3, 10)
(-7, 4, 10)
(-7, 5, 0.225199)
(-7, 6, 0.192046)
(-7, 7, 10)
(-7, 8, 0.206137)
(-7, 9, 0.231853)
(-7, 10, 10)
(-6, -10, 1.236796)
(-6, -9, 10)
(-6, -8, 10)
(-6, -7, 10)
(-6, -6, 10)
(-6, -5, 10)
(-6, -4, 0.637537)
(-6, -3, 0.235247)
(-6, -2, 0.192369)
(-6, -1, 10)
(-6, 0, 10)
(-6, 1, 10)
(-6, 2, 10)
(-6, 3, 0.290621)
(-6, 4, 10)
(-6, 5, 10)
(-6, 6, 0.583061)
(-6, 7, 0.199032)
(-6, 8, 0.18114)
(-6, 9, 0.25492)
(-6, 10, 0.244103)
(-5, -10, 0.489055)
(-5, -9, 16.696505)
(-5, -8, 0.51458)
(-5, -7, 2.056082)
(-5, -6, 0.327368)
(-5, -5, 1.721492)
(-5, -4, 0.197347)
(-5, -3, 0.144257)
(-5, -2, 10)
(-5, -1, 10)
(-5, 0, 0.374472)
(-5, 1, 0.168127)
(-5, 2, 10)
(-5, 3, 1.102374)
(-5, 4, 0.313012)
(-5, 5, 0.139181)
(-5, 6, 0.233634)
(-5, 7, 0.193799)
(-5, 8, 0.218391)
(-5, 9, 0.248915)
(-5, 10, 0.233281)
(-4, -10, 0.41026)
(-4, -9, 10)
(-4, -8, 2.758602)
(-4, -7, 10)
(-4, -6, 0.174225)
(-4, -5, 0.133547)
(-4, -4, 0.157829)
(-4, -3, 0.216479)
(-4, -2, 0.215026)
(-4, -1, 0.303489)
(-4, 0, 0.139981)
(-4, 1, 1.142227)
(-4, 2, 0.246491)
(-4, 3, 0.177681)
(-4, 4, 0.297611)
(-4, 5, 0.110562)
(-4, 6, 0.111013)
(-4, 7, 0.127068)
(-4, 8, 0.181828)
(-4, 9, 0.18671)
(-4, 10, 0.187512)
(-3, -10, 0.46415)
(-3, -9, 10)
(-3, -8, 0.51234)
(-3, -7, 0.394507)
(-3, -6, 0.366564)
(-3, -5, 0.487608)
(-3, -4, 0.176735)
(-3, -3, 0.209846)
(-3, -2, 0.604935)
(-3, -1, 0.19474)
(-3, 0, 0.153968)
(-3, 1, 0.183365)
(-3, 2, 0.141506)
(-3, 3, 0.211244)
(-3, 4, 0.198633)
(-3, 5, 0.175221)
(-3, 6, 0.105364)
(-3, 7, 0.180903)
(-3, 8, 0.195535)
(-3, 9, 0.187221)
(-3, 10, 0.24787)
(-2, -10, 10)
(-2, -9, 0.591362)
(-2, -8, 2.749029)
(-2, -7, 10)
(-2, -6, 0.881463)
(-2, -5, 0.230243)
(-2, -4, 0.64881)
(-2, -3, 0.287331)
(-2, -2, 0.184507)
(-2, -1, 0.170616)
(-2, 0, 0.149493)
(-2, 1, 1.509263)
(-2, 2, 0.191318)
(-2, 3, 0.257129)
(-2, 4, 0.238778)
(-2, 5, 0.221668)
(-2, 6, 0.153746)
(-2, 7, 0.131947)
(-2, 8, 0.201989)
(-2, 9, 0.183582)
(-2, 10, 0.19131)
(-1, -10, 0.298244)
(-1, -9, 10)
(-1, -8, 0.221398)
(-1, -7, 0.405707)
(-1, -6, 10)
(-1, -5, 0.207359)
(-1, -4, 1.145119)
(-1, -3, 0.256527)
(-1, -2, 0.194544)
(-1, -1, 0.269312)
(-1, 0, 1.668388)
(-1, 1, 0.720572)
(-1, 2, 0.27711)
(-1, 3, 0.560485)
(-1, 4, 10)
(-1, 5, 0.191061)
(-1, 6, 0.200601)
(-1, 7, 0.160161)
(-1, 8, 0.175481)
(-1, 9, 0.206371)
(-1, 10, 0.298575)
(0, -10, 0.278432)
(0, -9, 0.204829)
(0, -8, 0.196292)
(0, -7, 0.293256)
(0, -6, 0.224035)
(0, -5, 0.291546)
(0, -4, 0.541992)
(0, -3, 0.389123)
(0, -2, 0.681377)
(0, -1, 0.184374)
(0, 1, 0.152852)
(0, 2, 0.129827)
(0, 3, 0.497219)
(0, 4, 0.611054)
(0, 5, 0.216836)
(0, 6, 0.243074)
(0, 7, 0.25069)
(0, 8, 0.169262)
(0, 9, 0.283587)
(0, 10, 0.261581)
(1, -10, 0.301152)
(1, -9, 0.365484)
(1, -8, 0.282435)
(1, -7, 0.251902)
(1, -6, 0.261839)
(1, -5, 0.2014)
(1, -4, 0.279233)
(1, -3, 0.566053)
(1, -2, 0.436906)
(1, -1, 0.195556)
(1, 0, 10)
(1, 1, 1.119731)
(1, 2, 0.413091)
(1, 3, 0.442717)
(1, 4, 0.252303)
(1, 5, 0.224067)
(1, 6, 0.166871)
(1, 7, 0.164095)
(1, 8, 0.232251)
(1, 9, 0.276765)
(1, 10, 0.251687)
(2, -10, 0.321653)
(2, -9, 0.318078)
(2, -8, 0.237946)
(2, -7, 0.222455)
(2, -6, 0.223833)
(2, -5, 0.217216)
(2, -4, 0.244358)
(2, -3, 0.401481)
(2, -2, 0.823708)
(2, -1, 0.634274)
(2, 0, 10)
(2, 1, 0.778197)
(2, 2, 0.637306)
(2, 3, 0.313736)
(2, 4, 0.206206)
(2, 5, 0.184585)
(2, 6, 0.181033)
(2, 7, 0.180071)
(2, 8, 0.326236)
(2, 9, 0.268429)
(2, 10, 0.29419)
(3, -10, 0.269483)
(3, -9, 0.3029)
(3, -8, 0.307617)
(3, -7, 0.35931)
(3, -6, 0.266636)
(3, -5, 0.211862)
(3, -4, 0.282163)
(3, -3, 0.223333)
(3, -2, 0.605441)
(3, -1, 1.067835)
(3, 0, 1.418825)
(3, 1, 1.133932)
(3, 2, 0.594082)
(3, 3, 0.382188)
(3, 4, 0.212866)
(3, 5, 0.235744)
(3, 6, 0.195082)
(3, 7, 0.34755)
(3, 8, 0.375765)
(3, 9, 0.299819)
(3, 10, 0.235075)
(4, -10, 0.327928)
(4, -9, 0.263588)
(4, -8, 0.300869)
(4, -7, 0.302226)
(4, -6, 0.360952)
(4, -5, 0.367555)
(4, -4, 0.457688)
(4, -3, 0.618348)
(4, -2, 0.607388)
(4, -1, 0.792997)
(4, 0, 1.014828)
(4, 1, 0.76255)
(4, 2, 0.655893)
(4, 3, 0.587695)
(4, 4, 0.357833)
(4, 5, 0.338961)
(4, 6, 0.367497)
(4, 7, 0.325183)
(4, 8, 0.272096)
(4, 9, 0.27445)
(4, 10, 0.224784)
(5, -10, 0.204212)
(5, -9, 0.224893)
(5, -8, 0.310586)
(5, -7, 0.285624)
(5, -6, 0.341006)
(5, -5, 0.269613)
(5, -4, 0.401971)
(5, -3, 0.553275)
(5, -2, 0.490146)
(5, -1, 0.565964)
(5, 0, 0.853389)
(5, 1, 0.586982)
(5, 2, 0.493633)
(5, 3, 0.409867)
(5, 4, 0.448873)
(5, 5, 0.341174)
(5, 6, 0.292113)
(5, 7, 0.359458)
(5, 8, 0.297803)
(5, 9, 0.230068)
(5, 10, 0.266118)
(6, -10, 0.278458)
(6, -9, 0.22732)
(6, -8, 0.272289)
(6, -7, 0.331093)
(6, -6, 0.301696)
(6, -5, 0.427062)
(6, -4, 0.381837)
(6, -3, 0.38693)
(6, -2, 0.284014)
(6, -1, 0.457596)
(6, 0, 0.412864)
(6, 1, 0.573539)
(6, 2, 0.440607)
(6, 3, 0.372299)
(6, 4, 0.330998)
(6, 5, 0.290881)
(6, 6, 0.326812)
(6, 7, 0.27425)
(6, 8, 0.302589)
(6, 9, 0.261135)
(6, 10, 0.215328)
(7, -10, 0.244831)
(7, -9, 0.265397)
(7, -8, 0.221111)
(7, -7, 0.27324)
(7, -6, 0.259809)
(7, -5, 0.261401)
(7, -4, 0.320593)
(7, -3, 0.40297)
(7, -2, 0.363367)
(7, -1, 0.505485)
(7, 0, 0.354415)
(7, 1, 0.35352)
(7, 2, 0.339161)
(7, 3, 0.366774)
(7, 4, 0.307271)
(7, 5, 0.235593)
(7, 6, 0.211072)
(7, 7, 0.27632)
(7, 8, 0.244242)
(7, 9, 0.259198)
(7, 10, 0.189094)
(8, -10, 0.257063)
(8, -9, 0.21638)
(8, -8, 0.288342)
(8, -7, 0.231482)
(8, -6, 0.311048)
(8, -5, 0.271045)
(8, -4, 0.287309)
(8, -3, 0.327961)
(8, -2, 0.298416)
(8, -1, 0.336169)
(8, 0, 0.359436)
(8, 1, 0.328788)
(8, 2, 0.29439)
(8, 3, 0.276916)
(8, 4, 0.284354)
(8, 5, 0.232761)
(8, 6, 0.239671)
(8, 7, 0.242567)
(8, 8, 0.209454)
(8, 9, 0.229946)
(8, 10, 0.608575)
(9, -10, 0.254432)
(9, -9, 0.270275)
(9, -8, 0.243447)
(9, -7, 0.251368)
(9, -6, 0.314475)
(9, -5, 0.289461)
(9, -4, 0.281822)
(9, -3, 0.311171)
(9, -2, 0.305644)
(9, -1, 0.282835)
(9, 0, 0.301247)
(9, 1, 0.28175)
(9, 2, 0.291349)
(9, 3, 0.278585)
(9, 4, 0.29921)
(9, 5, 0.249867)
(9, 6, 0.213249)
(9, 7, 0.231633)
(9, 8, 0.223111)
(9, 9, 0.214362)
(9, 10, 0.238682)
(10, -10, 0.234637)
(10, -9, 0.26105)
(10, -8, 0.219731)
(10, -7, 0.254499)
(10, -6, 0.288616)
(10, -5, 0.259073)
(10, -4, 0.265465)
(10, -3, 0.260834)
(10, -2, 0.318118)
(10, -1, 0.249875)
(10, 0, 0.346211)
(10, 1, 0.283073)
(10, 2, 0.285586)
(10, 3, 0.2839)
(10, 4, 0.264722)
(10, 5, 0.243897)
(10, 6, 0.242009)
(10, 7, 0.283693)
(10, 8, 0.246742)
(10, 9, 0.273895)
(10, 10, 0.25793)
